"00000000", ""
"00000100", "10001111000001000000000001000000"
"00001000", "10001111100000110000000010000000"
"00001100", "10001110000000100000000010000000"
"00010000", "00100000010001010000000000000011"
"00010100", "00000000100000110011000000100000"
"00011000", "00000000011001000011100000100010"
"00011100", "00000000100000110100000000101010"
"00100000", "00010100100000110000000000000009"
"00100100", "10101111000001000000000001000000"
"00101000", "10111100000000000000000000000002"
"00101100", "00001100000000000000000000001100"
"00110000", "10101110100000110000000000111100"
"00110100", ""
"00111000", "10111100000000000000000000000000"
"00111100", "10101110100000110000000000110000"
"01000000", "00000100000000000000000000000000"
"01000100", ""
"01001000", "00100000100001000000000000000001"
"01001100", "00001000000000000000000000001000"
"01010000", ""
"01010100", ""
"01011000", "00001"
"01011100", "00100"
"01100000", "00101"
"01100100", "00011"
"01101000", "00111"
"01101100", "01000"
"01110000", "00011"
"01110100", "00111"
"01111000", "01001"
"01111100", "01111"
"10000000", "00011"
